RESULT,T11,T12,T13,T14,T15,T16,T17,T18,T19,T110,T111,T112,T113,T14,T15,T21,T22,T23,T24,T25,T26,T27,T28,T29,T210,T211,T212,"T213,T214",T215
Victory,Panhard EBR 105,T30,60TP Lewandowskiego,Bat.-Châtillon 25 t AP,AE Phase I,Conqueror Gun Carriage,Object 705,E 75,Bat.-Châtillon 155 58,Leopard Prototyp A,Char Futur 4,Leopard Prototyp A,T 55A,G.W. E 100,Waffenträger auf Pz. IV,Prototipo Standard B,Оbject 279,FV4004 Conway,Cobra,UDES 16,G.W. E 100,Char Futur 4,Conqueror Gun Carriage,Leopard Prototyp A,IS-3-II,ST-I,Object 704,Object 705,Object 261,Panhard EBR 105
Defeat,TNH T Vz. 51,Kranvagn,T30,E 50,T95,Leopard 1,Tiger II,Grille 15,Lorraine 50 t,Rheinmetall Skorpion,T28,Bat.-Châtillon 25 t AP,IS-2-II,AMX 65 t,ELC EVEN 90,Waffenträger auf Pz. IV,Grille 15,Kranvagn,Progetto M40 mod. 65,AE Phase I,T30,Kunze Panzer,KV-4,TNH T Vz. 51,IS-5 (Object 730),Object 430,WZ-120-1G FT,LT-432,IS-3,ISU-152
Victory,Super Conqueror,Vz. 55,Bat.-Châtillon 25 t,Leopard Prototyp A,AMX M4 mle. 51,60TP Lewandowskiego,Super Conqueror,Škoda T 50,Bat.-Châtillon 25 t,Object 263,Progetto C50 mod. 66,T-54,E 100,Object 263,Kunze Panzer,WZ-111 model 5A,Kunze Panzer,60TP Lewandowskiego,Rinoceronte,E 75,Char Futur 4,Object 705A,WZ-111 model 5A,Char Futur 4,Leopard Prototyp A,Object 263,Conqueror,M48A5 Patton,Bat.-Châtillon 25 t,T30
Victory,Bat.-Châtillon Bourrasque,Leopard Prototyp A,E 75,Emil II,Object 257,Progetto M35 mod 46,M53/M55,Panhard EBR 90,TNH T Vz. 51,G.W. Tiger (P),Tiger II,ELC EVEN 90,Rheinmetall Skorpion,T-103,IS-3,Progetto M35 mod 46,M53/M55,GSOR 1008,ELC EVEN 90,Bat.-Châtillon Bourrasque,50TP prototyp,Kunze Panzer,Nameless,Lorraine 155 mle. 51,Object 257,Object 777 Version II,Rheinmetall Skorpion G,Panhard EBR 90,Emil II,WZ-114
Victory,Super Hellcat,Rheinmetall Skorpion G,ISU-152K,AMX 13 57 GF,Chrysler K,IS,IS-2-II,Carro d'assalto P.88,ASTRON Rex 105 mm,AMX 13 75,T20,T-54 first prototype,M-II-Y,Panther,Tiger I,Škoda T 56,Cz20_ShPTK_TVP_100_mm,VK 30.02 (D),Ferdinand,Vz. 44-1,FV4202,T29,122 TM,Tiger I,Konštrukta T-34/100,IS,O-Ho,AMX 13 57,Challenger,Type 62
Defeat,Object 260,T110E4,Grille 15,G.W. E 100,Super Conqueror,E 100,121B,Jagdpanzer E 100,STB-1,Manticore,FV215b (183),Object 277,Kranvagn,UDES 15/16,Panhard EBR 105,Vz. 55,FV4005 Stage II,Object 430U,G.W. E 100,T110E4,XM551 Sheridan,Object 140,Jagdpanzer E 100,121B,Strv 103B,E 100,T110E5,T57 Heavy Tank,Vz. 55,Panhard EBR 105
Victory,Type 62,T20,Jagdpanther,Type 5 Chi-Ri,Progetto M35 mod 46,Bretagne Panther,WZ-111-1G FT,Super Hellcat,Jagdpanzer IV,T-34-85M,Strv m/42-57 Alt A.2,Lorraine 155 mle. 50,Rheinmetall Skorpion,"VK 28.01 mit 10,5 cm L/28",Hummel,Panther,Strv m/42-57 Alt A.2,SU-130PM,AMX Canon d'assaut 105,Ikv 90 Typ B,P.44 Pantera,SU-100Y,T20,AT 8,G.W. Panther,Panther,M44,T37,VK 30.02 (M),T71
Victory,Vz. 55,Kranvagn,Super Conqueror,TVP T 50/51,E 100,IS-7,Object 268,Leopard 1,T92 HMC,114 SP2,Panhard EBR 105,Manticore,AMX M4 mle. 54,AMX 50 Foch (155),IS-7,T110E3,E 100,IS-7,Super Conqueror,T110E4,STB-1,60TP Lewandowskiego,Object 277,Object 261,IS-7,STB-1,Jagdpanzer E 100,CS-63,T-100 LT,Panhard EBR 105
Victory,AMX 13 57 GF,Rheinmetall Skorpion G,ISU-152K,Chrysler K,IS,Super Hellcat,IS-2-II,Carro d'assalto P.88,ASTRON Rex 105 mm,AMX 13 75,T20,T-54 first prototype,M-II-Y,Panther,Tiger I,Škoda T 56,Cz20_ShPTK_TVP_100_mm,VK 30.02 (D),Ferdinand,Vz. 44-1,FV4202,T29,122 TM,Tiger I,Konštrukta T-34/100,IS,O-Ho,AMX 13 57,Challenger,Type 62
Victory,T20,Type 62,Jagdpanther,Type 5 Chi-Ri,Progetto M35 mod 46,Bretagne Panther,WZ-111-1G FT,Super Hellcat,Jagdpanzer IV,T-34-85M,Strv m/42-57 Alt A.2,Lorraine 155 mle. 50,Rheinmetall Skorpion,"VK 28.01 mit 10,5 cm L/28",Hummel,Panther,Strv m/42-57 Alt A.2,SU-130PM,AMX Canon d'assaut 105,Ikv 90 Typ B,P.44 Pantera,SU-100Y,T20,AT 8,G.W. Panther,Panther,M44,T37,VK 30.02 (M),T71
Victory,Panhard AMD 178B,Type 64,SU-100Y,M44,Achilles,Type 58,M36 Jackson,M44,VK 28.01,T-34-85 Rudy,Type 4 Chi-To,KV-1S,T-150,Sherman Firefly,M6,VK 36.01 (H),Sherman VC Firefly,T-150,SU-100,T-150,Type 4 Chi-To,M44,B.U.G.I.,59-16,Sherman Firefly,Hummel,T37,Panhard AMD 178B,AT 8,Object 244
Defeat,MS-1,Pz.Kpfw. II,T-45,M2 Light Tank,Leichttraktor,Leichttraktor,Type 95 Ha-Go,Leichttraktor,4TP,Kolohousenka,Leichttraktor,MKA,Fiat 3000,MS-1,Strv fm/21,M2 Light Tank,M2 Light Tank,MKA,MKA,Type 95 Ha-Go,T1 Cunningham,Leichttraktor,4TP,Leichttraktor,MS-1,Leichttraktor,Strv fm/21,Leichttraktor,4TP,MS-1
Victory,STB-1,E 100,Char Futur 4,T30,M53/M55,FV4005 Stage II,IS-7,Strv 103B,Leopard Prototyp A,Leopard Prototyp A,VK 45.02 (P) Ausf. B,Leopard 1,T-100 LT,Concept 1B,Waffenträger auf Pz. IV,Leopard 1,AMX 50 Foch (155),STB-1,Waffenträger auf Pz. IV,Waffenträger auf Pz. IV,G.W. Tiger,Progetto C50 mod. 66,Maus,T110E4,TNH T Vz. 51,60TP Lewandowskiego,AMX 13 105,Leopard Prototyp A,Char Futur 4,Kunze Panzer
Victory,XM551 Sheridan,Object 430U,T95/FV4201 Chieftain,Object 261,M60,Type 5 Heavy,STB-1,E 100,IS-7,TVP T 50/51,E 100,WZ-113G FT,Leopard 1,STB-1,FV215b (183),CS-63,E 100,STB-1,AMX 50 Foch (155),STB-1,Grille 15,STB-1,Object 261,T-62A,FV215b,IS-7,E 50 Ausf. M,XM551 Sheridan,E 100,Kranvagn
Defeat,Sturer Emil,T-150,Super Hellcat,Škoda T 25,M36 Jackson,G.W. Panther,AMX 13 F3 AM,Bretagne Panther,T-34-85,M44,KV-1S,Jagdpanther,Comet,"VK 28.01 mit 10,5 cm L/28",KV-85,Škoda T 40,40TP Habicha,Challenger,IS,T-150,KV-85,M44,Krupp-Steyr Waffenträger,MT-25,KV-2,Super Hellcat,SU-8,M12,T-34-85,SU-100
Defeat,ISU-152,UDES 14 Alt 5,Chrysler K,Lansen C,Progetto M35 mod 46,Strv S1,T69,Tiger II,VK 75.01 (K),ELC EVEN 90,ELC EVEN 90,M46 Patton KR,LHMTV,IS-M,T-44,ELC EVEN 90,T-34-3,T26E4 SuperPershing,T28 Prototype,Object 703 II,FV1066 Senlac,Progetto M35 mod 46,IS-2-II,ELC EVEN 90,IS-3,Lansen C,T-44,Lorraine 40 t,Cz20_ShPTK_TVP_100_mm,Tiger II
Victory,M4A1 FL 10,T-34-85M,Pudel,M44,M44,T-50-2,M24E2 Super Chaffee,T78,Panhard AMD 178B,Cromwell B,VK 30.02 (M),ARL 44,"VK 28.01 mit 10,5 cm L/28",SU-100,KV-2,M4A3E8 Thunderbolt VII,M44,T78,T-34-85M,T-50-2,59-16,KV-2,FV304,P.43 bis,Dicker Max,Cromwell B,Panhard AMD 178B,Škoda T 25,"VK 28.01 mit 10,5 cm L/28",T-150
Victory,Prototipo Standard B,T110E5,AE Phase I,Object 261,T 55A,Spähpanzer Ru 251,CS-63,Object 777 Version II,Leopard Prototyp A,121B,Leopard Prototyp A,Panhard EBR 90,WZ-113G FT,Bat.-Châtillon 155 55,К-91-ПТ,Object 277,Kampfpanzer 50 t,Kampfpanzer 50 t,TVP T 50/51,Object 261,Centurion Action X,M53/M55,M46 Patton,TNH T Vz. 51,Panhard EBR 90,T110E4,Object 777 Version II,Kampfpanzer 50 t,T49,Tortoise
Victory,E 100,AE Phase I,STB-1,Vz. 55,T110E4,VK 100.01 (P),Cobra,Primo Victoria,Rheinmetall Skorpion G,Progetto M35 mod 46,Char Futur 4,Löwe,SU-130PM,Spähpanzer Ru 251,Prototipo Standard B,Rhm.-Borsig Waffenträger,Bat.-Châtillon 25 t,ISU-152K,Cobra,Char Futur 4,Emil II,Tiger II,Grille 15,Object 260,T49,E 100,E 75,T-54 first prototype,IS-3,T-44
Victory,Char Futur 4,AE Phase I,Škoda T 56,T-54,T49,EMIL 1951,T30,FV3805,Rheinmetall Skorpion,T28,M26 Pershing,VK 100.01 (P),Bat.-Châtillon Bourrasque,Leopard Prototyp A,leKpz M 41 90 mm GF,Emil II,T30,IS-3,T 55A,Rheinmetall Skorpion G,Bat.-Châtillon Bourrasque,WZ-120-1G FT,Bat.-Châtillon 155 55,Объект 274а,T34,Object 703 II,Leopard Prototyp A,ELC EVEN 90,Char Futur 4,T49
Defeat,Rheinmetall Skorpion G,AMX M4 mle. 49 Liberté,T-44,ELC EVEN 90,GSOR 1008,LT-432,T69,ELC EVEN 90,LTTB,M-IV-Y,Lorraine 40 t,Tiger II,STA-1,Panther II,Tiger II,Bat.-Châtillon Bourrasque,TS-5,Progetto M35 mod 46,"Panther mit 8,8 cm L/71",M54 Renegade,Lorraine 40 t,Indien-Panzer,110,ELC EVEN 90,ELC EVEN 90,IS-6,Tiger II,HWK 30,T-103,LTTB
Victory,FCM 36 Pak 40,Pz.Kpfw. III Ausf. E,Pz.Kpfw. S35 739 (f),M15/42,M22 Locust,Vickers Medium Mk. III,Convert. Medium Tank T3,Somua S35,M3 Stuart,Strv m/40L,Pz.Kpfw. III Ausf. E,Valentine,BT-5,LT vz. 38,Pz.Kpfw. I Ausf. C,FCM 36 Pak 40,Pz.Kpfw. IV Ausf. A,Valentine,Type 97 Chi-Ha,T-29,MTLS-1G14,Pz.Kpfw. III Ausf. E,M15/42,BT-7 artillery,Somua S35,T-46,Vickers Medium Mk. III,Strv m/40L,Pz.Kpfw. I Ausf. C,AMX 38
Defeat,Object 705A,Maus,Super Conqueror,T57 Heavy Tank,Object 140,Bat.-Châtillon 25 t,Progetto M40 mod. 65,STB-1,Bat.-Châtillon 155 58,T92 HMC,Panhard EBR 105,AMX 50 Foch (155),FV4005 Stage II,FV217 Badger,Object 268,Bat.-Châtillon 25 t,Bat.-Châtillon 25 t,E 100,T92 HMC,FV4005 Stage II,Object 277,Vz. 55,STB-1,Object 430U,Grille 15,G.W. E 100,Panhard EBR 105,AMX 50 B,CS-63,Jagdpanzer E 100
Victory,XM551 Sheridan,Kranvagn,AMX 30 B,ST-I,Grille 15,M53/M55,G.W. Tiger,M53/M55,T95,Char Futur 4,TNH T Vz. 51,Conqueror,Type 61,TVP T 50/51,T95,M53/M55,T57 Heavy Tank,Prototipo Standard B,M53/M55,Leopard 1,Object 268 Version 4,Object 268 Version 4,FV3805,CS-59,XM551 Sheridan,WZ-114,E 75,Leopard Prototyp A,FV4004 Conway,IS-3-II
Victory,Tiger II,E 75 TS,Rheinmetall Skorpion,P.44 Pantera,IS-6,SU-130PM,ISU-152K,Progetto M35 mod 46,Centurion Mk. I,Объект 274а,Tiger II,T-44,T26E4 SuperPershing,Bat.-Châtillon Bourrasque,leKpz M 41 90 mm GF,Cz20_ShPTK_TVP_100_mm,Tiger II,SU-130PM,T-103,Progetto M35 mod 46,T-44-100,Bat.-Châtillon Bourrasque,O-Ho,T-34-3,STA-2,T-54 first prototype,Somua SM,T26E4 SuperPershing,ELC EVEN 90,Tiger II
Defeat,Concept 1B,Vz. 55,T110E4,E 50 Ausf. M,E 100,Leopard Prototyp A,WZ-111 model 1-4,Kampfpanzer 50 t,WZ-120,Progetto M40 mod. 65,AMX M4 mle. 51,Progetto M40 mod. 65,Emil II,T49,G.W. E 100,Leopard 1,Object 277,Prototipo Standard B,T54E1,Object 430U,Object 268,IS-4,TNH T Vz. 51,E 75,121B,Object 777 Version II,Kunze Panzer,Object 430,Object 261,T-54 ltwt.
Defeat,Leopard 1,TVP T 50/51,Grille 15,STB-1,T95/FV4201 Chieftain,Object 430U,E 100,Object 907,Jagdpanzer E 100,STB-1,E 100,Progetto M40 mod. 65,E 50 Ausf. M,Manticore,Panhard EBR 105,M60,Super Conqueror,E 100,Grille 15,Object 430U,STB-1,Grille 15,Progetto M40 mod. 65,STB-1,UDES 15/16,T-100 LT,Object 277,Panhard EBR 105,FV4005 Stage II,E 100
Victory,T-54 ltwt.,T30,SU-130PM,Kampfpanzer 50 t,Object 430,VK 30.02 (D),Tiger II,110,Carro d'assalto P.88,Emil I,O-Ni,Spähpanzer SP I C,T28 Prototype,G.W. Panther,SU-14-1,Škoda T 56,T30,Spähpanzer Ru 251,Bisonte C45,Char Futur 4,AMX 30 1er prototype,AMX 13 57,Tiger I,Cz20_ShPTK_TVP_100_mm,G.W. Panther,Bofors Tornvagn,T25/2,Lorraine 155 mle. 50,T29,T26E4 SuperPershing
Victory,ELC EVEN 90,Tiger I,Löwe,Tiger I,King Tiger,G.W. Panther,Cz20_ShPTK_TVP_100_mm,S-51,T-34-1,T32,Rheinmetall Skorpion,HWK 30,Super Hellcat,Challenger,O-Ni,M56 Scorpion,Rheinmetall Skorpion G,WZ-111 Alpine Tiger,T29,Super Hellcat,S-51,T25/2,M12,ELC EVEN 90,Caernarvon,Panther/M10,M41 Walker Bulldog,IS-2-II,Tiger I,IS-2 Armored
Victory,M10 RBFM,Matilda IV,KV-220-2,Pz.Kpfw. V/IV,Škoda T 24,KV-220-2,Pz.Sfl. IC,AT 2,AMX 40,SU-5,Pz.Kpfw. II Luchs,M8A1,SU-76M,Pz.Kpfw. III Ausf. J,Matilda,Pz.Kpfw. V/IV,Churchill III,Matilda,M8A1,M10 RBFM,KV-220-2,M10 RBFM,Škoda T 24,T-28,Somua SAu 40,Birch Gun,AMX 40,M4 Sherman,Somua SAu 40,ST vz. 39
Victory,Type 64,KV-1S,Strv 74,KV-2,FV304,M44,Škoda T 25,M36 Jackson,VK 30.02 (M),VK 30.01 (P),Pawlack Tank,Achilles,Cromwell,"VK 28.01 mit 10,5 cm L/28",T37,VK 36.01 (H),VK 30.01 (P),AT 8,Cromwell,"VK 28.01 mit 10,5 cm L/28",M6,M4A3E2 Sherman Jumbo,M24E2 Super Chaffee,Pawlack Tank,T37,Škoda T 25,Hummel,M44,Jagdpanzer IV,P.43 bis
Victory,E 50,E 75,FV4004 Conway,TS-5,Kampfpanzer 07 RH,SU-14-2,Char Futur 4,TS-5,Cobra,E 75 TS,Progetto CC55 mod. 54,M-III-Y,T-10,Emil II,Ferdinand,T30,TS-5,Progetto C50 mod. 66,E 50,Type 4 Heavy,T 55A,Löwe,SU-130PM,IS-3A,Type 61,Chrysler K,Jagdtiger,M54 Renegade,Lorraine 155 mle. 51,Panther II
Victory,Churchill VII,M44,KV-220-2,Pz.Sfl. IVb,Cromwell,M10 Wolverine,Pz.Sfl. IC,A-43,Type 3 Chi-Nu,T6 Medium,Matilda,AMX 40,Pz.Kpfw. III Ausf. J,BT-7,Pz.Kpfw. IV Ausf. H,P.43 bis,Cromwell,M6,Jagdpanzer 38(t) Hetzer,T-34,KV-1,SU-8,M10 Wolverine,Pz.Sfl. IVb,BT-7,VK 30.01 (H),Matilda,BT-7,StuG III Ausf. B,Matilda
Victory,M4A3E8 Thunderbolt VII,Object 244,SU-100,M4A3E2 Sherman Jumbo,Cromwell B,T1 Heavy Tank,Bishop,T67,M10 RBFM,AMX 13 105 AM mle. 50,VK 30.01 (P),KV-1,KV-1,M10 Wolverine,Grille,SU-100,M10 RBFM,KV-85,KV-1,VK 30.01 (P),Grille,Nashorn,AMX 13 105 AM mle. 50,M4A3E8 Thunderbolt VII,Type 58,Churchill III,Excelsior,M10 RBFM,25TP KSUST II,105 leFH18B2
Victory,M18 Hellcat,O-I,Tiger I,Super Hellcat,Sturer Emil,ARL 44,"VK 28.01 mit 10,5 cm L/28",KV-3,VK 36.01 (H),Nashorn,T20,Pawlack Tank,Leo,Super Hellcat,59-16,IS-2 Armored,T29,AMX M4 mle. 45,KV-2,Cromwell B,SU-152,T37,E 25,M18 Hellcat,Heavy Tank No. VI,Super Hellcat,VK 30.02 (M),"VK 28.01 mit 10,5 cm L/28",Super Hellcat,KV-1S
Defeat,Object 260,STB-1,TVP T 50/51,FV4005 Stage II,Object 268 Version 4,Progetto M40 mod. 65,TVP T 50/51,Manticore,Kranvagn,FV4005 Stage II,E 100,121B,FV4005 Stage II,E 100,E 100,FV4005 Stage II,STB-1,Vz. 55,121B,E 100,T110E3,Kranvagn,FV4005 Stage II,E 100,Progetto M40 mod. 65,TVP T 50/51,Manticore,TVP T 50/51,E 100,Object 268
Victory,STB-1,Оbject 279,Jagdpanzer E 100,STB-1,AMX M4 mle. 54,T110E4,T57 Heavy Tank,60TP Lewandowskiego,T92 HMC,Bat.-Châtillon 155 58,Strv 103B,UDES 15/16,E 100,E 100,Object 260,T110E3,Strv 103B,Jagdpanzer E 100,T92 HMC,E 100,Object 705A,TVP T 50/51,Object 261,AMX 50 Foch (155),Vz. 55,E 100,STB-1,Object 277,Leopard 1,Maus
Defeat,AMX 13 57,45TP Habicha,T26E5 Patriot,Tiger I,Škoda T 56,SU-152,WZ-111-1G FT,ISU-152,AMX 13 75,VK 30.02 (D),AT 7,M-II-Y,AMX AC mle. 48,SU-130PM,Type 5 Chi-Ri,GSOR 1008,SU-101,Carro d'assalto P.88,T71,Type 5 Chi-Ri,Bat.-Châtillon Bourrasque,T29,SU-152,Super Hellcat,Tiger II,KV-13,AMX 13 75,AMX M4 mle. 49 Liberté,AT 15,SU-152
Victory,TNH T Vz. 51,Char Futur 4,AMBT,AE Phase I,Progetto M35 mod 46,CS-59,Rheinmetall Skorpion,FV3805,Object 257,VK 100.01 (P),T34,M41 Walker Bulldog,T30,Cz20_ShPTK_TVP_100_mm,UDES 14 Alt 5,Kunze Panzer,Löwe,IS-6 B,Mäuschen,Cz20_ShPTK_TVP_100_mm,T-44,AE Phase I,M-VI-Y,Char Futur 4,HWK 12,Progetto M35 mod 46,G.W. Tiger,Tortoise,CS-52,Rheinmetall Skorpion G
Victory,Bat.-Châtillon Bourrasque,M-III-Y,CS-53,AMX M4 mle. 49 Liberté,T-44-100,Panhard AML Lynx 6x6,CS-52,Rheinmetall Skorpion,Bat.-Châtillon Bourrasque,ISU-152,SU-101,M40/M43,M41 Walker Bulldog,Tiger II,AMX M4 mle. 49 Liberté,T26E5,AMBT,Škoda T 56,Kampfpanzer 07 RH,O-Ho,AMX M4 mle. 49 Liberté,Rheinmetall Skorpion G,T-103,Bat.-Châtillon Bourrasque,Panhard EBR 75 (FL 10),G.W. Tiger (P),Škoda T 27,M41 Walker Bulldog,T26E4 SuperPershing,ISU-152
Victory,T26E4 SuperPershing,Tiger I,Tiger I,SU-130PM,ELC EVEN 90,Pawlack Tank,M44,Super Hellcat,Nashorn,Cz20_ShPTK_TVP_100_mm,M24E2 Super Chaffee,AT 8,KV-1S,Type 4 Chi-To,P.43 bis,Jagdpanther II,Rheinmetall Skorpion,E 25,M-II-Y,T-150,E 25,LT-432,Cromwell B,KV-1S,Type 4 Chi-To,P.44 Pantera,M4A3E8 Thunderbolt VII,Hummel,WZ-131G FT,T-50-2
Victory,Vz. 55,AMX 50 Foch (155),Object 430U,FV3805,Leopard Prototyp A,ISU-152K,E 75,Object 257,Cz20_ShPTK_TVP_100_mm,Object 252U Defender,Ferdinand,T-34-2,Waffenträger auf Pz. IV,Char Futur 4,Primo Victoria,Strv 103-0,Rhm.-Borsig Waffenträger,Object 430,Waffenträger auf Pz. IV,Jagdpanzer E 100,Bat.-Châtillon 25 t AP,M53/M55,E 75,Leopard 1,Caernarvon,Caliban,T-54 first prototype,E 100,AT 15,CS-52
Victory,T49,Chimera,Rheinmetall Skorpion G,M53/M55,WZ-132A,T 55A,Löwe,STA-1,TNH T Vz. 51,Strv S1,T28 Prototype,Bisonte C45,Strv K,Jagdtiger,IS-3,M46 Patton,Rheinmetall Skorpion G,Emil II,M53/M55,WZ-132A,Rheinmetall Skorpion,AE Phase I,Chieftain/T95,Jagdtiger,IS-5 (Object 730),T49,Progetto M35 mod 46,Centurion Mk. 5/1 RAAC,TS-5,AMX 65 t
Victory,Pz.Kpfw. VII,Grille 15,Kranvagn,T95/FV4201 Chieftain,T57 Heavy Tank,STB-1,121,Object 140,Object 261,Type 5 Heavy,T-100 LT,E 100,STB-1,Object 268,IS-7,Grille 15,STB-1,Super Conqueror,Object 260,Rinoceronte,E 100,Object 140,60TP Lewandowskiego,STB-1,TVP T 50/51,AMX 50 B,Manticore,E 100,Bat.-Châtillon 155 58,Object 268 Version 4
Defeat,Object 263,M54 Renegade,E 75,E 50,Cz20_ShPTK_TVP_100_mm,IS-3-II,Charioteer,Progetto M35 mod 46,Rhm.-Borsig Waffenträger,SU-101,T49,Leopard Prototyp A,Centurion Mk. 7/1,Kanonenjagdpanzer 105,SU-130PM,Cobra,Progetto M35 mod 46,Waffenträger auf Pz. IV,Löwe,T30,M-VI-Y,Rhm.-Borsig Waffenträger,WZ-132A,Cz20_ShPTK_TVP_100_mm,SU-130PM,Leopard Prototyp A,CS-52,E 75,Rhm.-Borsig Waffenträger,T28
Victory,Vz. 55,AMX 50 B,Leopard 1,Leopard 1,T110E3,CS-63,T110E5,T92 HMC,AMX 50 Foch B,FV217 Badger,Object 907,Rheinmetall Panzerwagen,60TP Lewandowskiego,STB-1,E 100,E 100,Leopard 1,UDES 15/16,Grille 15,T57 Heavy Tank,Leopard 1,T110E3,Object 261,FV4005 Stage II,Progetto M40 mod. 65,STB-1,Object 140,Rinoceronte,T110E5,XM551 Sheridan
Victory,FV4005 Stage II,FV4005 Stage II,T95/FV4201 Chieftain,Object 705A,STB-1,E 50 Ausf. M,Grille 15,Leopard 1,Object 140,Object 260,Super Conqueror,E 100,Conqueror Gun Carriage,Object 277,Panhard EBR 105,AMX 50 Foch (155),FV215b (183),E 50 Ausf. M,Rinoceronte,Оbject 279,T110E5,Object 140,E 100,Panhard EBR 105,60TP Lewandowskiego,Object 261,Object 907,Object 260,Leopard 1,STB-1
Victory,M24 Chaffee,VK 36.01 (H),Tiger I,Sturer Emil,Jagdpanzer IV,KV-2,M4A3E8 Sherman,VK 16.02 Leopard,105 leFH18B2,ARL 44,105 leFH18B2,Pz.Kpfw. IV Ausf. H,KV-1,T-34,Type 3 Chi-Nu,T-34-85M,Tiger I,VK 16.02 Leopard,Pudel,VK 36.01 (H),105 leFH18B2,VK 30.01 (P),SU-152,105 leFH18B2,M36 Jackson,Pz.Kpfw. IV Ausf. H,KV-1,A-20,T1 Heavy Tank,Strv m/42
Defeat,Object 277,Type 61,E 75,Object 268,AMX AC mle. 48,Bat.-Châtillon Bourrasque,T95,FV4202,M-III-Y,Progetto M35 mod 46,Cz20_ShPTK_TVP_100_mm,Panhard EBR 105,Rheinmetall Panzerwagen,Emil II,SU-130PM,T-100 LT,SU-130PM,Panhard EBR 105,Waffenträger auf Pz. IV,TNH T Vz. 51,FV215b (183),Char Futur 4,Kampfpanzer 07 RH,TNH T Vz. 51,E 100,Rheinmetall Skorpion G,Ferdinand,Somua SM,FV4202,Progetto M35 mod 46
Victory,M24E2 Super Chaffee,Cz20_ShPTK_TVP_100_mm,Rhm.-Borsig Waffenträger,TNH 105/1000,E 25,ARL 44,Leo,Konštrukta T-34/100,M-II-Y,KV-2,Cromwell B,Jagdpanther,Type 64,Pawlack Tank,Ikv 90 Typ B,Rhm.-Borsig Waffenträger,IS,Caernarvon,Super Hellcat,Leo,M56 Scorpion,O-I,Leo,Jagdpanther,Rheinmetall Skorpion G,B.U.G.I.,T-50-2,Pawlack Tank,"VK 28.01 mit 10,5 cm L/28",КВ-2 (Р)
Victory,Cobra,Bat.-Châtillon Bourrasque,T95,Cz20_ShPTK_TVP_100_mm,Leopard Prototyp A,Rheinmetall Skorpion,Emil I,G.W. Tiger,T34,P.44 Pantera,Tiger II,T28 Prototype,Charioteer,Progetto M35 mod 46,50TP Tyszkiewicza,Char Futur 4,CS-53,Caliban,Tiger II,Conqueror,WZ-120-1G FT,Rhm.-Borsig Waffenträger,Kanonenjagdpanzer 105,IS-6 B,Waffenträger auf Pz. IV,G.W. Tiger,T28 Prototype,Object 416,122 TM,50TP Tyszkiewicza
Defeat,Leopard 1,Object 268,Object 260,Object 430U,Vz. 55,Progetto M40 mod. 65,Object 261,STB-1,Leopard 1,IS-7,Panhard EBR 105,XM551 Sheridan,T110E4,STB-1,60TP Lewandowskiego,Kranvagn,E 100,T92 HMC,E 50 Ausf. M,Object 277,121,Object 268 Version 4,Rinoceronte,FV217 Badger,Leopard 1,Leopard 1,Manticore,Panhard EBR 105,STB-1,CS-63
Victory,ELC EVEN 90,Rheinmetall Skorpion G,Object 430U,T95,E 100,STG Guard,E 50,Strv 103-0,Emil II,Strv 103B,T34,FV4004 Conway,Progetto CC55 mod. 54,T26E5 Patriot,T49,E 100,Grille 15,M54 Renegade,Tortoise,121B,Object 430,Progetto C50 mod. 66,FV4004 Conway,Cz20_ShPTK_TVP_100_mm,SU-130PM,E 50,M41D,Spähpanzer Ru 251,Somua SM,VK 75.01 (K)
Victory,T110E3,Grille 15,Vz. 55,Leopard 1,Panhard EBR 105,Leopard 1,60TP Lewandowskiego,Vz. 55,121B,Centurion Action X,Bat.-Châtillon 25 t,Object 140,E 100,Manticore,Object 705A,T110E3,Grille 15,WZ-111 model 5A,E 100,Leopard 1,Leopard 1,STB-1,Bat.-Châtillon 25 t,UDES 15/16,Centurion Action X,Type 5 Heavy,Type 5 Heavy,Panhard EBR 105,T-100 LT,T95/FV4201 Chieftain
Victory,T32,Bat.-Châtillon Bourrasque,WZ-120-1G FT,Progetto M35 mod 46,WZ-111-1G FT,Tiger II,Rhm.-Borsig Waffenträger,Charlemagne,ELC EVEN 90,HWK 30,TVP VTU Koncept,TS-5,Škoda T 56,ELC EVEN 90,53TP Markowskiego,Ferdinand,ELC EVEN 90,Kanonenjagdpanzer 105,Löwe,Bat.-Châtillon Bourrasque,GSOR 1008,Charioteer,HWK 30,M54 Renegade,LTTB,T-44,UDES 14 Alt 5,IS-6,TNH 105/1000,Object 252U Defender
Victory,E 100,Object 430U,Bat.-Châtillon 25 t,Object 277,Kranvagn,STB-1,Leopard 1,UDES 15/16,60TP Lewandowskiego,Leopard 1,121,TVP T 50/51,Vz. 55,STB-1,Bat.-Châtillon 155 58,ST-II,Grille 15,Vz. 55,Object 430U,Object 261,60TP Lewandowskiego,E 100,121B,Kranvagn,TVP T 50/51,CS-63,Object 140,FV215b,Leopard 1,STB-1
